epoch,lr,train_loss,val_loss,val_auc,val_eer
1,0.0004986304738420684,0.3016836492816195,0.28612142543380076,0.7147733333333333,0.34800000000000003
2,0.0004945369001834514,0.27585230210092676,0.258092464449314,0.8148444444444445,0.2673333333333333
3,0.0004877641290737884,0.25627733886636084,0.26099032091979796,0.8022222222222223,0.304
4,0.00047838636441065017,0.24748597278393017,0.2548122025238207,0.7867022222222222,0.2833333333333333
5,0.00046650635094610973,0.24894864352988041,0.2454136969664922,0.8126933333333333,0.2793333333333333
6,0.00045225424859373693,0.22831028769313477,0.2378475817386061,0.8548444444444444,0.22799999999999998
7,0.0004357862063693486,0.21466416432966645,0.2415460846028649,0.8420444444444444,0.2546666666666667
8,0.0004172826515897146,0.205634432286169,0.24211874553181517,0.8422222222222221,0.23933333333333334
9,0.0003969463130731183,0.2053801152005954,0.24281375668942928,0.8519822222222222,0.22933333333333333
10,0.000375,0.19614511127926648,0.22091048796517918,0.87456,0.21600000000000003
11,0.00035168416076895013,0.1823708522594843,0.25904993870958254,0.8355022222222223,0.2773333333333333
12,0.0003272542485937369,0.1674126142700429,0.23416718186882252,0.8773155555555555,0.19399999999999998
13,0.00030197792270443986,0.15785395619420806,0.25721978446549304,0.8547911111111112,0.2533333333333333
14,0.00027613211581691346,0.15768395805932123,0.3013328275561574,0.8521777777777777,0.24133333333333334
15,0.0002500000000000001,0.1477544347486189,0.27470106463162947,0.8420355555555555,0.266
16,0.0002238678841830867,0.1352932236885527,0.25185662014812876,0.8643733333333333,0.23933333333333334
17,0.00019802207729556018,0.12182958829431617,0.25008723556395407,0.8717333333333334,0.238
18,0.0001727457514062632,0.11184914334163555,0.262248882363425,0.86,0.24266666666666664
19,0.00014831583923105002,0.10904119353402003,0.24438137170643762,0.8524622222222223,0.264
