epoch,lr,train_loss,val_loss,val_auc,val_eer,val_ap
1,0.0003333333333333333,0.3084552345480538,0.29730080698545164,0.7359288888888889,0.35733333333333334,0.9640756539241317
2,0.0005,0.29224506507847936,0.2816343720500859,0.7165155555555556,0.31066666666666665,0.9581692766024691
3,0.0005,0.2797914558588778,0.2616271269418156,0.8107377777777778,0.28,0.9793392237300309
4,0.0004983095894354857,0.2679107184570159,0.25541474326298785,0.8024888888888889,0.30333333333333334,0.9781494754996007
5,0.0004932612176449559,0.25328319941220334,0.24708173234158984,0.8277688888888888,0.2553333333333333,0.9810598408656213
6,0.0004849231551964771,0.2594885421951622,0.2580194564249653,0.8395911111111111,0.246,0.98208780702437
7,0.00047340816008085306,0.2550906109878662,0.260484343542395,0.8050133333333332,0.2806666666666667,0.9782358753655104
8,0.0004588719528532341,0.24374379975435273,0.25560341119909513,0.8239466666666666,0.256,0.9807904857883447
9,0.0004415111107797445,0.23262152479115208,0.24449132590626294,0.8633066666666666,0.19866666666666669,0.9848446780977034
10,0.00042156040946718344,0.23178170481310284,0.26362150699088277,0.8248888888888889,0.2686666666666667,0.9805237384632561
11,0.00039928964792569654,0.22414254229196978,0.24584402966922006,0.8514844444444443,0.24133333333333334,0.9834348577361726
12,0.000375,0.22079131292122225,0.24721549831044215,0.85456,0.23666666666666664,0.9834883011049843
13,0.00034901994150978924,0.22326832391994067,0.24489609610575896,0.8632355555555555,0.21466666666666667,0.9849692114142902
14,0.0003217008081777726,0.20661481264313244,0.24974322892152345,0.85632,0.22799999999999998,0.9841509544828245
15,0.00029341204441673266,0.20486921963235558,0.21848242953777885,0.8748799999999999,0.21933333333333338,0.9860660878504424
16,0.00026453620722761897,0.1962420656792607,0.2468822881615219,0.8799288888888889,0.21666666666666667,0.9867059996593163
17,0.00023546379277238105,0.20304430670156123,0.22402424844375884,0.8904533333333333,0.20333333333333334,0.9880054598389245
18,0.00020658795558326743,0.18702001639238958,0.2388204247869838,0.9014577777777777,0.18866666666666665,0.9890346594629411
19,0.00017829919182222752,0.18262320642139285,0.2445902949458776,0.8885866666666667,0.22733333333333333,0.9878235359214596
20,0.0001509800584902108,0.17652653556602574,0.22517812367564496,0.8992711111111112,0.21266666666666667,0.9888169455477622
21,0.00012500000000000006,0.16549445353607797,0.22748385396642753,0.903128888888889,0.1893333333333333,0.9891745323857863
22,0.00010071035207430351,0.16508262730768739,0.26330413663079244,0.8783466666666667,0.22333333333333333,0.9864615535134408
23,7.843959053281663e-05,0.16275524824177637,0.2440988324994508,0.8962844444444444,0.19533333333333333,0.9885395685207314
24,5.848888922025553e-05,0.1597568329968125,0.22619463461272132,0.9051022222222223,0.19200000000000003,0.9895815041507435
25,4.112804714676593e-05,0.15132521516741887,0.27856125463194287,0.8969066666666666,0.19999999999999998,0.9885261952403002
26,2.659183991914696e-05,0.14276340000494553,0.26953253956386247,0.8945422222222222,0.1873333333333333,0.9884392276951101
27,1.5076844803522921e-05,0.14195943614887024,0.2635697355771509,0.9018488888888889,0.16200000000000003,0.9892359543394108
28,6.7387823550440485e-06,0.1480704844680114,0.28335616241159955,0.8918755555555554,0.2006666666666667,0.9879719667811087
29,1.6904105645142442e-06,0.13983112156074262,0.2623684851703449,0.8930488888888889,0.19533333333333333,0.9883475862638434
30,0.0,0.1426155270156448,0.30704732730597384,0.8957155555555556,0.19666666666666668,0.9883955118055128
